"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 04 19:06:02 GST 2022","Tue Oct 04 19:06:06 GST 2022","4375","","Shadow dom","","","","Using Config includeShadowDom",""
"skipped","Tue Oct 04 19:02:25 GST 2022","Tue Oct 04 19:02:25 GST 2022","0","","custom command","","","","Dual command",""
"skipped","Tue Oct 04 19:06:54 GST 2022","Tue Oct 04 19:06:54 GST 2022","1","","Slider suit","","","","Slider Test - http://testautomationpractice.blogspot.com/",""
"skipped","Tue Oct 04 19:04:06 GST 2022","Tue Oct 04 19:04:06 GST 2022","0","","doc command","","","","Cookies setting using document command",""
"passed","Tue Oct 04 19:03:27 GST 2022","Tue Oct 04 19:04:03 GST 2022","35316","","data driven login","","","","login using alias",""
"skipped","Tue Oct 04 19:04:06 GST 2022","Tue Oct 04 19:04:06 GST 2022","1","","doc command","","","","Dimension using cypress command",""
"passed","Tue Oct 04 19:04:10 GST 2022","Tue Oct 04 19:04:11 GST 2022","652","","Dropdown handling","","","","Select dropdown using JS,JQuery,Cypress",""
"passed","Tue Oct 04 19:05:02 GST 2022","Tue Oct 04 19:05:31 GST 2022","28285","","POM pattern in Cypress","","","","Pick data from Page JSON",""
"passed","Tue Oct 04 19:02:25 GST 2022","Tue Oct 04 19:02:28 GST 2022","3347","","custom command","","","","get table cell value",""
"skipped","Tue Oct 04 19:06:54 GST 2022","Tue Oct 04 19:06:54 GST 2022","0","","Slider suit","","","","Slider Test - MaterialUi",""
"skipped","Tue Oct 04 19:04:06 GST 2022","Tue Oct 04 19:04:06 GST 2022","0","","doc command","","","","Cookies setting using cypress command",""
"skipped","Tue Oct 04 19:02:25 GST 2022","Tue Oct 04 19:02:25 GST 2022","0","","custom command","","","","Çhild command- Option=Element",""
"passed","Tue Oct 04 19:04:57 GST 2022","Tue Oct 04 19:04:58 GST 2022","621","","iframe methods","","","","iframe- JQuery way",""
"skipped","Tue Oct 04 19:02:25 GST 2022","Tue Oct 04 19:02:25 GST 2022","2","","custom command","","","","Simple parent command",""
